"FARM","year","Plot","Size","TYPE_clean","plantID","totalBasal","AGM_kg"
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_267",24.5098419453278,3.40878885629451
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_268",42.9980361718874,5.16876238764947
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_269",32.3930403909807,4.19078188094202
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_270",35.846828814521,4.51731877558392
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_271",6.0498435128342,1.2095232757146
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_272",18.0529265644047,2.71802647897839
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_273",20.7737814218625,3.01582780743021
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_274",27.0056802289722,3.6626058252307
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_275",26.7022809184518,3.63208693606747
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_276",28.3481613096675,3.79659661989273
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_277",15.0366049178768,2.37384114427442
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_278",14.3591204621302,2.2941583805434
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_279",21.7153167401434,3.11647425484162
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_280",8.78766297062137,1.59472996077063
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_281",16.569780672645,2.55082410054736
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_282",12.2566881185316,2.04034525904775
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_283",20.338827918973,2.96893505104104
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_284",20.6482747953516,3.00232318674639
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_285",27.684814020862,3.73059974230573
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_286",15.5649422623943,2.43533644536967
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_287",13.9707410703301,2.24804002439987
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_288",23.7529537352617,3.33051190756695
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_289",23.2237524527645,3.27539777708437
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_290",39.611949070032,4.86412370960135
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_291",10.0178321139508,1.75722574676579
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_292",1.64006844480655,0.460024854133198
"ADJU8",2022,"Plot 1","10x10","Co","ADJU8_22_293",32.2731886312462,4.17929293592048
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1481",42.1837353560769,5.09608814525455
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1482",32.6097317442621,4.21152589142655
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1483",23.9389360203542,3.34980531054418
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1484",39.2934701147743,4.83513045155225
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1485",15.4880517821977,2.42642092937942
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1486",16.8389366232413,2.58144667477021
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1487",3.09446876378595,0.736177580378265
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1488",3.14159265358979,0.744464023168865
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1527",7.31221398086292,1.39177531223688
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1528",27.6378472106908,3.72591152821709
"ADJU8",2023,"Plot 2","10x10","Co","ADJU8_23_1529",32.2651775699796,4.17852460434624
