"year","plot_num","Plot","Size","FARM","AGMtot_kg"
2023,1,"Plot 1","30x30","UTUA2",8673.02505894062
2023,1,"Plot 1","30x30","ADJU7",16.7774958008444
2023,1,"Plot 1","30x30","ADJUCP",1416.90074656376
2023,3,"Plot 3","30x30","UTUA2",3884.04302943583
2023,2,"Plot 2","30x30","UTUA20",100.240812397271
2023,2,"Plot 2","30x30","UTUA16",425.717914614259
2023,2,"Plot 2","30x30","UTUA18",5730.70027004914
2023,4,"Plot 4","30x30","JAYU2/3",204.49271915223
2023,3,"Plot 3","30x30","UTUA30",69.9751588188186
2023,2,"Plot 2","30x30","ADJU8",23.8238548986907
