"FARM","TYPE","DBH_cm","basalA"
"UTUA20","Ba",9.1,65.0388219109427
"UTUA20","Ba",7.2,40.7150407905237
"UTUA20","Ba",16,201.061929829747
"UTUA20","Co",2.13,3.56327292751788
"UTUA20","Co",1.44,1.62860163162095
"UTUA20","Ba",8.1,51.5299735005066
"UTUA20","Ba",6.8,36.316811075498
"UTUA20","Ba",8.5,56.7450173054656
"UTUA20","Ba",17.5,240.528187540469
"UTUA20","Ba",10.1,80.1184666481737
"UTUA20","Ba",10.6,88.2473376393373
"UTUA20","Co",0.72,0.407150407905237
"UTUA20","Co",1.1,0.950331777710913
"UTUA20","Ba",9.3,67.9290871522453
"UTUA20","Ba",8,50.2654824574367
"UTUA20","Ba",9.7,73.8981131940659
"UTUA30","Co",0.98,0.75429639612691
